ID,SAMPN,PERNO,MODE,GENDER,AGE,INCOME,CAR,LIC,TRIPDIST_R1,TRPDUR_R,OTAZ,DTAZ,TOD_R
379,3003097,1,1,1,5,4,1,1,2,3,3294,3294,2
380,3003097,1,1,1,5,4,1,1,2,1,3294,3294,3
381,3003097,1,1,1,5,4,1,1,2,1,3294,3294,3
382,3003097,2,1,2,4,4,1,1,4,3,3294,3289,2
383,3003097,2,1,2,4,4,1,1,4,3,3289,3294,2
384,3003097,2,1,2,4,4,1,1,2,1,3294,3294,3
385,3003097,2,1,2,4,4,1,1,2,1,3294,3294,3
386,3003113,1,1,2,6,9,1,1,4,3,527,1637,1
387,3003113,1,1,2,6,9,1,1,4,3,1637,527,2
388,3003113,1,1,2,6,9,1,1,1,2,527,527,2
389,3003130,2,1,1,4,2,1,1,1,1,2732,2732,3
390,3003178,1,1,2,4,4,1,1,6,4,2282,3432,2
391,3003178,1,1,2,4,4,1,1,6,4,3432,2282,3
392,3003180,1,1,2,5,2,1,1,2,1,2637,2629,1
393,3003180,1,1,2,5,2,1,1,1,1,2629,2629,1
394,3003180,1,1,2,5,2,1,1,1,1,2629,2629,1
395,3003180,1,1,2,5,2,1,1,4,3,3538,2647,2
396,3003180,1,1,2,5,2,1,1,4,2,2647,2638,2
397,3003180,1,1,2,5,2,1,1,1,1,2638,2637,3
398,3003227,1,1,1,6,2,1,1,5,3,1880,1625,1
399,3003227,1,1,1,6,2,1,1,5,3,1625,1880,1
400,3003227,1,1,1,6,2,1,1,6,3,1880,2058,2
401,3003227,1,1,1,6,2,1,1,6,4,2058,1880,2
402,3003227,1,1,1,6,2,1,1,3,2,1880,1943,3
403,3003227,1,1,1,6,2,1,1,2,2,1943,1880,3
404,3003227,1,1,1,6,2,1,1,1,1,1880,1880,3
405,3003227,1,1,1,6,2,1,1,1,1,1880,1880,3
406,3003227,2,1,2,5,2,1,1,3,2,1880,1891,2
407,3003227,2,1,2,5,2,1,1,3,2,1891,1880,2
408,3003227,2,1,2,5,2,1,1,3,2,1880,1943,3
409,3003227,2,1,2,5,2,1,1,2,2,1943,1880,3
410,3003227,2,1,2,5,2,1,1,1,1,1880,1880,3
411,3003227,2,1,2,5,2,1,1,1,1,1880,1880,3
412,3003250,1,1,2,4,2,1,1,4,4,2524,2505,3
413,3003264,1,1,2,4,4,1,1,4,2,3320,3323,2
414,3003264,1,1,2,4,4,1,1,4,3,3323,3320,2
415,3003264,1,5,2,4,4,1,1,1,1,3320,3320,2
416,3003264,1,1,2,4,4,1,1,1,4,3320,3320,2
417,3003264,1,1,2,4,4,1,1,1,1,3320,3320,3
418,3003264,1,1,2,4,4,1,1,2,2,3320,3320,3
419,3003264,1,1,2,4,4,1,1,2,2,3320,3320,3
420,3003264,1,1,2,4,4,1,1,2,3,3320,3320,3
421,3003264,1,1,2,4,4,1,1,2,2,3320,3320,4
422,3003264,3,1,1,1,4,1,NA,2,2,3320,3320,3
423,3003264,3,1,1,1,4,1,NA,2,2,3320,3320,4
